test,region,coef,p,n,executed
primary,northsea_to_lowcountries,0.0003685533198025,0.000202161230098,,True
primary,northsea_to_denmark_germany,0.0005038081730904,3.1765057439623075e-10,,True
primary,atlantic_to_france,-1.280141690393147e-06,0.9933572253860048,,True
primary,atlantic_to_iberia,-0.0002134072491984,2.9041676391255155e-05,,True
primary,uk_offshore_to_continent,0.0005525069828691,1.4196651232041442e-22,,True
primary,domain,-0.0038679455849621,1.0845669912071868e-14,,True
C1_downwind_exposure,domain,0.0010091442035783,0.0900622448998397,,True
C3_placebo_+45d,domain,0.0012107783912934,0.4782703269002172,,True
C4_offseason_NovMar,domain,,,,False
C5_weak_outcome_SST,domain,-0.0003649120426448,0.3860650805343362,,True
C6_kernel_50km,domain,-0.0081176300858943,4.769609602817232e-07,,True
C6_kernel_200km,domain,-0.0016098240816159,3.793407267751651e-12,,True
C6_kernel_unweighted,domain,-0.0031817779876415,6.106829397726453e-10,,True
C7_LOO_drop_northsea_to_lowcountries,regions_minus1,-0.0002205469364434,0.4183803211780854,,True
C7_LOO_drop_northsea_to_denmark_germany,regions_minus1,-0.000406676129265,0.1479739362659283,,True
C7_LOO_drop_atlantic_to_france,regions_minus1,0.0005979738570458,0.0014588165540857,,True
C7_LOO_drop_atlantic_to_iberia,regions_minus1,0.0018897954060999,4.544200839910261e-16,,True
C7_LOO_drop_uk_offshore_to_continent,regions_minus1,-0.0010309380900677,0.0003307648945927,,True
